order_no,order_date,buyer,ship_city,ship_state,sku,description,quantity,item_total,shipping_fee,cod,order_status
408-4317100-7692318,"Sun, 7 Nov, 2021, 6:58 pm IST",Priyanka,"BAREILLY,",UTTAR PRADESH,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,,Delivered to buyer
402-6701060-6592325,"Fri, 1 Oct, 2021, 11:35 pm IST",Heena,"MUMBAI,",MAHARASHTRA,SKU:  1T-RAUZ-UZKO,"Women's Pure Leather Jhallar Clutch Purse with Zipper Compartments | Floral Block Print Ladies Wallet (Green, 1 pc)",1,₹399.00,₹84.96,Cash On Delivery,Delivered to buyer
405-0978927-9443544,"Wed, 10 Nov, 2021, 9:24 pm IST",A,"JALANDHAR,",PUNJAB,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,,Delivered to buyer
407-4805322-7498725,"Wed, 23 Jun, 2021, 6:09 am IST",Velmurugan,"THISAYANVILAI,",TAMIL NADU,SKU:  CR-6E69-UXFW,"Pure Leather Elephant Shaped Piggy Coin Bank | Money Bank for Kids | Gift Ideas (Black, L)",1,₹449.00,,,Delivered to buyer
406-6432664-4853932,"Sun, 19 Sept, 2021, 11:57 am IST",Nilanjana,"BIDHAN NAGAR,",WEST BENGAL,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹47.20,,Delivered to buyer
407-8790284-0125124,"Sun, 10 Oct, 2021, 11:02 pm IST",Harsimranjit,"JAGDALPUR,",CHHATTISGARH,SKU:  0M-RFE6-443C,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,₹399.00,₹60.18,,Delivered to buyer
402-4834476-0320360,"Mon, 16 Aug, 2021, 1:37 pm IST",Abhishek,"KOLKATA,",WEST BENGAL,SKU:  UR-WJJ0-I3TN,Pure 100% Leather Block Print Rectangular Jewelry Box with Mirror | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Red),1,₹250.00,,,Delivered to buyer
171-2479820-8391565,"Thu, 29 Jul, 2021, 6:04 pm IST",Rajat,"New Delhi,",DELHI,SKU:  RG-29TH-MROF,Bright and Colorful Handmade Shantiniketan Leather Ganesh Ji Piggy Coin Bank for Kids/Adults | Home Décor Handicrafts (Blue),1,₹349.00,,,Delivered to buyer
408-0358198-6688308,"Wed, 21 Jul, 2021, 7:40 pm IST",S.,"Tuticorin,",TAMIL NADU,SKU:  GP-RMI4-GJ6L,Bright & Colorful Shantiniketan Leather Piggy Bank for Kids/Adults | Light-Weight Handcrafted Owl Shaped Coin Bank (Green),1,₹549.00,,Cash On Delivery,Delivered to buyer
171-2095880-5548309,"Fri, 12 Nov, 2021, 7:10 pm IST",Kusum,"JAIPUR,",RAJASTHAN,SKU:  SB-WDQN-SDN9,Traditional Block-Printed Women's 100% Pure Leather Shoulder Bag: Double Handle Red Handbag | Multi-pocket Shantiniketan Leather Bag for Women,1,"₹1,299.00",₹210.04,,Delivered to buyer
403-3087278-4501963,"Sat, 27 Nov, 2021, 9:28 pm IST",Vinithra,"CHENNAI,",TAMIL NADU,SKU:  U1-8YOK-510E,100% Leather Cat Shaped Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas (Blu,1,₹449.00,₹84.96,,Delivered to buyer
406-6774677-4553965,"Tue, 13 Jul, 2021, 12:04 pm IST",Priyanka,"HYDERABAD,",TELANGANA,SKU:  5B-NW9K-L3AO,100% Leather Elephant Shaped Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas,1,₹349.00,,Cash On Delivery,Delivered to buyer
402-6614720-2475547,"Sun, 19 Sept, 2021, 7:52 pm IST",Anjana,"PALAI,",KERALA,SKU:  9S-GE8P-RIR4,Pure 100% Leather Block Print Rectangular Jewelry Box with Mirror | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Brown),1,₹250.00,₹84.96,Cash On Delivery,Delivered to buyer
405-4735668-0393136,"Thu, 23 Sept, 2021, 3:19 pm IST",Noopur,"KORBA,",CHHATTISGARH,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹60.18,,Delivered to buyer
408-7282076-9330761,"Sun, 24 Oct, 2021, 6:56 pm IST",Deepak,"BENGALURU,",KARNATAKA,SKU:  D9-CVL3-8JF6,Bright and Colorful Handmade Shantiniketan Leather Ganesh Ji Piggy Coin Bank for Kids/Adults | Home Décor Handicrafts (Black),1,₹549.00,₹84.96,,Delivered to buyer
403-9782961-0644358,"Wed, 10 Nov, 2021, 6:00 pm IST",Madhavi,"HYDERABAD,",TELANGANA,SKU:  54-D265-B74K,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Brown),1,₹399.00,₹84.96,,Delivered to buyer
402-3054284-1226754,"Thu, 18 Nov, 2021, 12:32 am IST",Sayantani,"KOLKATA,",WEST BENGAL,SKU:  G4-B5GQ-8V30,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (B,1,₹399.00,₹47.20,,Delivered to buyer
403-4722970-7103536,"Thu, 4 Nov, 2021, 8:52 am IST",Salima,"MUMBAI,",MAHARASHTRA,SKU:  TY-4GPW-U54J,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Red),1,₹399.00,₹84.96,,Delivered to buyer
407-8029342-1162714,"Wed, 1 Sept, 2021, 11:32 am IST",Sharad,"BENGALURU,",KARNATAKA,SKU:  NV-1DWM-41VX,Bright & Colorful Shantiniketan Leather Piggy Bank for Kids/Adults | Light-Weight Handcrafted Owl Shaped Coin Bank (Red),1,₹549.00,₹114.46,,Delivered to buyer
406-9976360-8935534,"Sat, 20 Nov, 2021, 2:41 am IST",shilpin,"MUMBAI,",MAHARASHTRA,SKU:  PG-WS6J-89DG,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Blue, Large)",1,₹449.00,₹84.96,,Delivered to buyer
406-0702616-4123501,"Sun, 29 Aug, 2021, 11:28 pm IST",Mahalakshmi,"CHENNAI,",TAMIL NADU,SKU:  9W-AS6W-6O9X,Pure 100% Leather Block Print Rectangular Jewelry Box with Mirror | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Blue),1,₹250.00,₹81.42,Cash On Delivery,Delivered to buyer
408-6770537-3774707,"Sun, 17 Oct, 2021, 10:22 am IST",Paromita,"Mumbai,",MAHARASHTRA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",2,₹898.00,₹84.96,,Delivered to buyer
403-4274611-4049927,"Thu, 7 Oct, 2021, 11:23 am IST",Pooja,"SAHARANPUR,",UTTAR PRADESH,SKU:  UR-WJJ0-I3TN,Pure 100% Leather Block Print Rectangular Jewelry Box with Mirror | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Red),1,,₹84.96,,Delivered to buyer
407-7598159-3965161,"Mon, 15 Nov, 2021, 12:29 pm IST",chandni,"THAMARASSERY,",KERALA,SKU:  S1-A92Q-JU3X,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (G,1,₹399.00,₹210.04,,Delivered to buyer
403-0124463-2966723,"Mon, 26 Jul, 2021, 8:15 am IST",Thanigaivel,"CHENNAI,",TAMIL NADU,SKU:  QD-RNE2-2FH8,Colourful and Bright Peacock Shaped Piggy Coin Bank | Block Printed West Bengal's 100% Leather Handicrafts (Shantiniketan Art) | Money Bank for Kids |,1,₹449.00,,,Delivered to buyer
403-5745034-5441137,"Fri, 20 Aug, 2021, 11:07 pm IST",parul,"Surat,",GUJARAT,SKU:  3V-FKXN-C4QJ,Handcrafted Women's Traditional Block Printed Handbag: 100% Pure Leather Shantiniketan Shoulder Bag | Multi Pocket with Highly Durable Leather Handles,1,"₹1,099.00",,Cash On Delivery,Delivered to buyer
404-1364960-1146735,"Thu, 25 Nov, 2021, 10:09 pm IST",swati,"GURUGRAM,",HARYANA,SKU:  0M-RFE6-443C,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,₹399.00,₹84.96,,Delivered to buyer
171-5917046-2682765,"Thu, 7 Oct, 2021, 10:04 am IST",Anku,"GUWAHATI,",ASSAM,SKU:  TQ-OE6K-9DIK,"Ultra Slim 100% Pure Leather Men's Wallet with Cash, Card and Coin Compartments | Jet Black Gent's Money Organizer with Cover (1 pc)",1,₹649.00,₹60.18,Cash On Delivery,Delivered to buyer
408-9069501-2731541,"Wed, 18 Aug, 2021, 11:10 am IST",shweta,"MUMBAI,",MAHARASHTRA,SKU:  O9-OVS7-G9XK,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Black),1,₹399.00,,,Delivered to buyer
403-3308024-9965128,"Tue, 16 Nov, 2021, 9:04 am IST",Madhavi,"HYDERABAD,",TELANGANA,SKU:  G4-B5GQ-8V30,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (B,1,₹399.00,₹84.96,,Delivered to buyer
405-7861224-4380325,"Sat, 13 Nov, 2021, 12:48 pm IST",Gaurang,"AHMEDABAD,",GUJARAT,SKU:  2X-3C0F-KNJE,100% Leather Elephant Shaped Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas,1,₹449.00,₹84.96,,Delivered to buyer
406-9977841-6948310,"Thu, 16 Sept, 2021, 6:59 am IST",Pramod,"GAUTAM BUDDHA NAGAR,",UTTAR PRADESH,SKU:  0M-RFE6-443C,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,,₹84.96,,Delivered to buyer
171-6267238-3345112,"Thu, 18 Nov, 2021, 9:55 pm IST",Geetika,"GURUGRAM,",HARYANA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",3,"₹1,347.00",₹84.96,,Delivered to buyer
405-3304794-2671568,"Sat, 9 Oct, 2021, 8:46 pm IST",Shobhit,"NEW DELHI,",DELHI,SKU:  D9-CVL3-8JF6,Bright and Colorful Handmade Shantiniketan Leather Ganesh Ji Piggy Coin Bank for Kids/Adults | Home Décor Handicrafts (Black),1,₹549.00,₹84.96,,Delivered to buyer
404-3621013-4015566,"Sun, 8 Aug, 2021, 7:08 am IST",roohi,"BENGALURU,",KARNATAKA,SKU:  54-D265-B74K,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Brown),1,₹399.00,,Cash On Delivery,Delivered to buyer
407-9473791-2643568,"Fri, 25 Feb, 2022, 12:04 am IST",chandrima,"KATWA,",WEST BENGAL,SKU:  P1-LF2X-L3ZC,Colourful and Bright Peacock Shaped Piggy Coin Bank | Block Printed West Bengal's 100% Leather Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas (1 pc) (Red),1,₹449.00,₹60.18,,Delivered to buyer
171-5463316-4433940,"Thu, 27 Jan, 2022, 5:31 pm IST",Vadim,"NEW DELHI,",DELHI,SKU:  GP-RMI4-GJ6L,Bright & Colorful Shantiniketan Leather Piggy Bank for Kids/Adults | Light-Weight Handcrafted Owl Shaped Coin Bank (Green),1,₹549.00,₹84.96,Cash On Delivery,Delivered to buyer
406-8570816-2548324,"Sun, 30 Jan, 2022, 10:25 am IST",pallavi,"MUMBAI,",MAHARASHTRA,SKU:  UR-WJJ0-I3TN,Set of 2 Pure 100% Leather Block Print Rectangular Jewelry Box with Mirror | Button Closure Multiple Utility Case (Shantiniketan Handicrafts),1,₹499.00,₹84.96,,Delivered to buyer
171-1925470-1621156,"Tue, 25 Jan, 2022, 11:42 am IST",Deepali,"JODHPUR,",RAJASTHAN,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,Cash On Delivery,Delivered to buyer
404-9528809-9494717,"Mon, 3 Jan, 2022, 9:43 pm IST",Dr.,"MALDA,",WEST BENGAL,SKU:  TQ-OE6K-9DIK,"Ultra Slim 100% Pure Leather Men's Wallet with Cash, Card and Coin Compartments | Jet Black Gent's Money Organizer with Cover (1 pc)",1,₹649.00,₹60.18,,Delivered to buyer
404-3361026-0027538,"Mon, 29 Nov, 2021, 6:09 pm IST",Sayanti,"NOIDA,",UTTAR PRADESH,SKU:  7K-6YIU-KO0R,"Women's Pure Leather Jhallar Clutch Purse with Zipper Compartments | Polka Dot Block Print Ladies Wallet (Dark Green, 1 pc)",1,₹399.00,₹84.96,,Delivered to buyer
408-1794879-4342714,"Thu, 23 Dec, 2021, 12:02 pm IST",Apoorva,"BENGALURU,",KARNATAKA,SKU:  PG-WS6J-89DG,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Blue, Large)",1,,₹84.96,,Delivered to buyer
403-2108547-9065907,"Thu, 10 Feb, 2022, 11:22 pm IST",RishuGarg,CHANDIGARH,"CHANDIGARH,",SKU:  54-D265-B74K,Set of 3 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Brown),1,₹475.00,₹84.96,Cash On Delivery,Delivered to buyer
405-0789055-6741110,"Fri, 25 Feb, 2022, 8:44 pm IST",Harshini,"SECUNDERABAD,",TELANGANA,SKU:  W4-JQ2J-ZUF2,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (Orange),1,₹399.00,₹84.96,Cash On Delivery,Delivered to buyer
171-4664401-7903525,"Sun, 26 Dec, 2021, 6:00 am IST",Madhuparna,"Kolkata,",WEST BENGAL,SKU:  NT-6I2C-2TWX,Handcrafted Women's Handbag: 100% Pure Shantiniketan Leather Polka Dotted Shoulder Bag | Multi Pocket with Highly Durable Leather Handles (Black),1,"₹1,299.00",₹80.24,,Delivered to buyer
406-1051099-3807565,"Wed, 19 Jan, 2022, 7:13 pm IST",Shakti,"CHANDIGARH,",CHANDIGARH,SKU:  2X-3C0F-KNJE,100% Leather Elephant Shaped Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas,1,₹449.00,₹84.96,,Delivered to buyer
408-9435263-6891514,"Thu, 9 Dec, 2021, 3:48 pm IST",Sharmila,"NOIDA,",UTTAR PRADESH,SKU:  SB-WDQN-SDN9,Traditional Block-Printed Women's 100% Pure Leather Shoulder Bag: Double Handle Red Handbag | Multi-pocket Shantiniketan Leather Bag for Women,1,"₹1,299.00",₹146.32,,Delivered to buyer
405-0868310-6684357,"Fri, 17 Dec, 2021, 3:57 pm IST",Monali,"SIWAN,",BIHAR,SKU:  X2-PMD5-PL2D,Bright and Colorful Handmade Shantiniketan Leather Ganesh Ji Piggy Coin Bank for Kids/Adults | Home Décor Handicrafts (Yellow),1,₹549.00,₹60.18,Cash On Delivery,Delivered to buyer
407-2925312-1225952,"Wed, 8 Dec, 2021, 9:22 pm IST",anjali,"GURUGRAM,",HARYANA,SKU:  54-D265-B74K,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Brown),1,₹399.00,₹84.96,,Delivered to buyer
405-0209265-6273962,"Sun, 23 Jan, 2022, 9:37 am IST",Gargi,"Ernakulam,",KERALA,SKU:  V6-KQJX-XGP2,"Women's Pure Leather Jhallar Clutch Purse with Zipper Compartments | Motif Block Print Ladies Wallet (Blue, 1 pc)",1,,₹84.96,,Returned to seller
403-0102354-2668323,"Sun, 30 Jan, 2022, 2:42 am IST",Jeevan,"HYDERABAD,",TELANGANA,SKU:  2X-3C0F-KNJE,100% Leather Elephant Shaped Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas,1,,₹84.96,Cash On Delivery,Delivered to buyer
407-3924859-8788324,"Mon, 6 Dec, 2021, 4:22 pm IST",kritika,"NAVI MUMBAI,",MAHARASHTRA,SKU:  SB-WDQN-SDN9,Traditional Block-Printed Women's 100% Pure Leather Shoulder Bag: Double Handle Red Handbag | Multi-pocket Shantiniketan Leather Bag for Women,1,"₹1,299.00",₹114.46,Cash On Delivery,Delivered to buyer
402-6563725-6606725,"Tue, 21 Dec, 2021, 4:11 pm IST",Mitra,"Kolkata,",WEST BENGAL,SKU:  SB-WDQN-SDN9,Traditional Block-Printed Women's 100% Pure Leather Shoulder Bag: Double Handle Red Handbag | Multi-pocket Shantiniketan Leather Bag for Women,3,"₹3,897.00",₹133.34,,Delivered to buyer
408-3173592-1224340,"Thu, 9 Dec, 2021, 1:22 pm IST",Dipali,"Mumbai,",MAHARASHTRA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,,Delivered to buyer
